,7.460378548895895
HenryMancini,7.164705882352941
TôruTakemitsu,7.566666666666666
JohnBarry,7.454545454545454
ToshirôMayuzumi,7.5375
BernardHerrmann,7.716666666666666
GeorgesDelerue,7.342857142857143
RonGoodwin,7.033333333333332
MichelLegrand,7.2318181818181815
ArmandoTrovajoli,7.306666666666668
ZdenekLiska,7.674999999999999
MasaruSatô,7.371428571428572
JerryFielding,7.409999999999999
ElmerBernstein,7.7562500000000005
AkiraIfukube,7.485714285714286
MauriceJarre,7.627272727272726
CarloRustichelli,7.483333333333334
HikaruHayashi,7.720000000000001
VyacheslavOvchinnikov,8.185714285714285
NelsonRiddle,6.76
JohnAddison,7.359999999999999
JerryGoldsmith,7.304545454545453
EnnioMorricone,7.3999999999999995
RizOrtolani,6.7
FrankDeVol,7.385714285714285
NinoRota,7.919999999999999
PieroPiccioni,7.2125
MimisPlessas,7.550000000000001
ToshiakiTsushima,7.111111111111111
LuisBacalov,7.066666666666667
LaloSchifrin,7.008333333333334
FrançoisdeRoubaix,6.883333333333334
AleksandrZatsepin,8.46
AntoineDuhamel,7.366666666666666
WojciechKilar,7.618181818181818
JohnWilliams,7.767999999999998
FrancisLai,6.728571428571429
DaveGrusin,7.5
QuincyJones,7.333333333333333
ShunsukeKikuchi,7.0625
JohnMorris,7.340000000000001
MarvinHamlisch,6.95
BillyGoldenberg,7.075
IsaoTomita,7.5200000000000005
AlfredSchnittke,7.483333333333333
PeerRaben,7.175000000000001
StanleyMyers,6.971428571428571
RandyNewman,7.56
BentFabricius-Bjerre,7.62
PhilippeSarde,7.136363636363637
PopolVuh,7.642857142857143
MichaelSmall,6.839999999999999
JosephKoo,7.4
StelvioCipriani,6.755555555555555
EduardArtemev,8.04
GuidoDeAngelis,6.7124999999999995
DickDeBenedictis,6.875
DavidShire,6.9399999999999995
FrancoBixio,7.1
FabioFrizzi,7.1000000000000005
BillConti,7.011111111111111
MaurizioDeAngelis,6.483333333333333
Yung-YuChen,6.828571428571429
VladimirCosma,7.566666666666667
AlanSilvestri,7.422222222222222
MichaelNyman,7.422222222222222
JürgenKnieper,7.300000000000001
LeeHoldridge,7.380000000000001
FrankieChan,7.128571428571428
JorgeArriagada,7.016666666666667
ShinichirôIkebe,7.760000000000001
VladimirDashkevich,7.840000000000001
DannyElfman,7.56
RichardRobbins,6.5200000000000005
TrevorJones,7.390909090909091
NicolaPiovani,7.125000000000001
RachelPortman,7.0200000000000005
MichaelKamen,7.285714285714285
FrancoPiersanti,7.18
HowardShore,7.6
ZbigniewPreisner,7.2875
CarterBurwell,7.657142857142857
JipingZhao,7.512500000000001
JoeHisaishi,7.855555555555554
MarkIsham,7.418181818181819
PhilipGlass,7.7
LennieNiehaus,7.6
GabrielYared,7.533333333333334
AngeloBadalamenti,7.199999999999999
LaxmikantShantaramKudalkar,7.333333333333333
PyarelalRamprasadSharma,7.42
GeorgeFenton,7.56
StewartCopeland,7.280000000000001
HansZimmer,7.575
JamesHorner,7.745454545454544
PatrickDoyle,7.425000000000001
MarcShaiman,7.659999999999999
JamesNewtonHoward,7.533333333333335
ThomasNewman,7.815384615384615
JatinPandit,7.8500000000000005
LalitPandit,7.814285714285715
TerenceBlanchard,6.8999999999999995
A.R.Rahman,7.999999999999998
DominicMuldowney,7.833333333333333
BrunoCoulais,7.82
MarcoBeltrami,7.3
AlbertoIglesias,7.466666666666667
AnuMalik,6.6571428571428575
MarkMothersbaugh,7.12
ReinholdHeil,7.62
LisaGerrard,7.859999999999999
AlexHeffes,7.5
AndreaGuerra,7.12
ShankarMahadevan,7.76
YôkoKanno,7.1800000000000015
